school,address,city,zip,lat,long
Kestrel Heights School,"4700 South Alston Ave., 27713",Durham,27713,35.89794,-78.888985
Lake Lure Classical Academy,"1058 Island Creek Rd., 28746",Lake Lure,28746,NA,NA
Lake Norman Charter,"12435 Old Statesville Road, 28078",Huntersville,28078,35.3873,-80.84692
Lakeside Charter Academy,"17609 Old Statesville Rd, 28031",Cornelius,28031,NA,NA
Langtree Charter Academy,"154 Foundation Ct, 28117",Mooresville,28117,35.542244,-80.861916
Lincoln Charter School,"7834 Galway Lane, 28037",Denver,28037,35.487015,-80.99818
Longleaf School of the Arts,"322 Chapanoke Road, 27603",Raleigh,27603,35.73563,-78.647354000000007
Mallard Creek STEM Academy,"9142 Browne Rd, 28269",Charlotte,28269,35.36467,-80.80288
Marjorie Williams Academy,"129 Allen Circle, 28616",Crossnore,28616,NA,NA
Matthews Charter Academy,"2332 Mount Harmony Church Rd., 28104",Matthews,28104,35.110443,-80.68168
Maureen Joy Charter School,"107 South Driver Street, 27703",Durham,27703,35.98562,-78.87793
Metrolina Regional Scholars Academy,"5225 Seventy-seven Center Dr, 28217",Charlotte,28217,35.168888,-80.8866
Millennium Charter Academy,"500 Old Springs Rd, 27030",Mount Airy,27030,36.517345,-80.597206
Monroe Charter Academy,"200 Tomberlin Street, 28112",Monroe,28112,34.97964,-80.51996
Moore Montessori Community School,"387 West Pennsylvania Avenue, 28387",Southern Pines,28387,35.17698,-79.39484
Mountain Discovery Charter School,"890 Jenkins Branch Rd N, 28713",Bryson City,28713,35.41284,-83.4534
Mountain Island Charter School Inc,"13440 Lucia-Riverbend Highway, 28120",Mt. Holly,28120,35.35836,-80.99178
Mountain Island Day School,"1209 Little Rock Rd, 28214",Charlotte,28214,35.262096,-80.94012
Movement Charter School,"2701-B  Freedom Dr, 28208",Charlotte,28208,35.23799,-80.88332
NC Leadership Charter Academy,"4353 High Point Rd, 27284",Kernersville,27284,36.046345,-80.11244
NC Virtual Academy,"4220 NC Highway 55, Suite 130, 27713",Durham,27713,NA,NA
Neuse Charter School,"909 Booker Dairy Rd, 27577",Smithfield,27577,35.530693,-78.32094
New Dimensions A Public Charter School,"550 Lenoir Road, 28655",Morganton,28655,35.768696,-81.66904
Next Generation Academy,"1414 Cliffwood Dr, 27406",Greensboro,27406,36.03815,-79.81583
North Carolina Cyber Academy,"2800 Meridian Parkway, Suite 150, 27713",Durham,27713,35.914413,-78.90117
